id,codigo_barras,nombre,marca,categoria,departamento,unidad,precio,precio_descuento,desde_piezas,precio_caja,piezas_caja,precio_unitario_valor,precio_unitario_unidad,stock,disponible
9984422,7501103300101,T-TAIO BORLA PARA BAÑO 15-1 PZ,T-TAIO,ACCESORIOS,Limpieza y Hogar,PZA,14.5,10.83,,162.5,15,,,24,True
9984420,7501103300224,Tela Strech para Baño T Taio,T-TAIO,ACCESORIOS,Limpieza y Hogar,PZA,19.5,,,585.0,30,,,100,True
7701029,7503004711024,Arena para Gato Econo Aglutinante 3 Kg,ECONO LITTER,ACCESORIOS PARA MASCOTA,Mascotas,PZA,28.9,27.32,,163.9,6,9.63,kg,54,True
7701042,7502239522450,Arena para gato aglutinante Karena 3Kg,KARENA,ACCESORIOS PARA MASCOTA,Mascotas,PZA,19.5,17.81,,142.5,8,6.5,kg,0,False
7701041,7503004711048,Arena para gatos absorbente Econo litter 3Kg,ECONO LITTER,ACCESORIOS PARA MASCOTA,Mascotas,PZA,25.9,24.58,,122.9,5,8.63,kg,34,True
9400156,7501039123065,ACEITE AVE VEGETAL 12-800 ML,AVE,ACEITE,Canasta Básica / Primera Necesidad,PZA,33.2,29.17,,350.0,12,41.5,L,342,True
9400159,7501039122792,Aceit  Vegetal Gran Tradición 1 L,GRAN TRADICION,ACEITE,Canasta Básica / Primera Necesidad,PZA,41.2,37.0,,444.0,12,41.2,L,171,True
1008005,75002343,Aceite Vegetal 123 Botella  1 Litro,123,ACEITE,Canasta Básica / Primera Necesidad,PZA,39.0,,,468.0,12,39.0,L,246,True
1008010,75005443,"Aceite Vegetal 123, 500 ml",123,ACEITE,Canasta Básica / Primera Necesidad,PZA,24.4,21.88,,525.0,24,48.8,L,696,True
9400158,7501039122716,Aceite Vegetal AVE Comestible 400 ml,AVE,ACEITE,Canasta Básica / Primera Necesidad,PZA,18.8,16.98,,203.8,12,47.0,L,530,True
5701005,7501048100248,Aceite Vegetal Comestible Cristal 1.5 Litros,CRISTAL,ACEITE,Canasta Básica / Primera Necesidad,PZA,63.4,55.75,,446.0,8,42.27,L,426,True
5701004,7501039120019,Aceite Vegetal Comestible Cristal 1L,CRISTAL,ACEITE,Canasta Básica / Primera Necesidad,PZA,42.2,37.08,,445.0,12,42.2,L,1141,True
5701002,5701001,Aceite Vegetal Comestible Cristal 500 ml,CRISTAL,ACEITE,Canasta Básica / Primera Necesidad,PZA,20.9,18.33,,439.9,24,41.8,L,518,True
5701011,7501048102501,Aceite Vegetal Kártamus 900 ml,KARTAMUS,ACEITE,Canasta Básica / Primera Necesidad,PZA,39.6,37.54,,450.5,12,44.0,L,0,False
5940503,7501491062964,Aceite Vegetal Oleico Botella con 825 ml,OLEICO,ACEITE,Canasta Básica / Primera Necesidad,PZA,75.5,69.83,,837.9,12,91.52,L,51,True
9602998,7501039122099,Aceite Vegetal Sabrosano Sabor Mantequilla 850 ml,SABRO SANO,ACEITE,Canasta Básica / Primera Necesidad,PZA,36.9,,,442.8,12,43.41,L,43,True
5701022,7501048103010,Aceite de Canola Canoil 946 ml,CANOIL,ACEITE,Canasta Básica / Primera Necesidad,PZA,46.5,44.08,,528.9,12,49.15,L,48,True
9603021,7502223772588,Aceite de Canola Capullo 755 ml,CAPULLO,ACEITE,Canasta Básica / Primera Necesidad,PZA,46.6,45.16,,541.9,12,61.72,L,182,True
5850006,7501009600213,Aceite de Canola Maravilla 900  ml,MARAVILLA,ACEITE,Canasta Básica / Primera Necesidad,PZA,38.5,34.91,,418.9,12,42.78,L,22,True
5920007,7502007292219,Aceite de Oliva El Olivo 180 ml,EL OLIVO,ACEITE,Canasta Básica / Primera Necesidad,PZA,33.9,30.34,,1365.5,45,188.33,L,163,True
